subject	DepressedGood	DepressedPleasant	TenseGood	TensePleasant	AweGood	AwePleasant	DistressedGood	DistressedPleasant	SurprisedGood	SurprisedPleasant	BoredGood	BoredPleasant	MiserableGood	MiserablePleasant	ExcitedGood	ExcitedPleasant	FrustratedGood	FrustratedPleasant	AngerGood	AngerPleasant	CalmGood	CalmPleasant	LustGood	LustPleasant	DisgustGood	DisgustPleasant	GuiltGood	GuiltPleasant	JoyGood	JoyPleasant	SadGood	SadPleasant	FearGood	FearPleasant	ShameGood	ShamePleasant	HappinessGood	HappinessPleasant	JealousyGood	JealousyPleasant	subject	Age	GenderF1M2U3	HispanicLatinoY1N2	Ethnicity	
1	0	0	19	8	50	68	0	0	50	50	31	0	0	0	94	100	15	0	11	23	80	100	14	35	0	0	10	0	100	100	11	2	76	6	40	18	100	100	16	13	1	18	2	2	6	
2	6	11	5	0	80	93	4	4	50	50	5	5	0	0	72	67	0	0	30	22	75	91	50	50	7	0	30	6	83	94	19	9	50	18	36	9	98	100	41	17	2	20	3	2	6	
3	0	0	0	0	89	90	0	0	72	50	15	12	0	0	97	97	60	15	0	0	100	100	80	90	84	53	0	0	100	100	50	50	82	0	71	0	100	100	3	0	3	19	1	2	2	
4	0	0	18	0	100		0	5	70	82	17	30	0	0	69	98	25	7	12	17	96	85	74	81	12	23	57	0	100	100	0	0	10	0	5	1	100	100	14	5	4	18	2	2	2	
5	0	0	24	15	100	78	0	0	50	50	37	17	0	0	100	81	12	0	12	18	100	71	50	49	19	27	9	0	100	100	14	7	22	23	13	0	100	80	0	0	5	21	1	2	2	
6	8	0	14	20	87	88	11	14	58	58	24	43	0	5	89	89	38	18	27	43	80	58	50	50	16	32	100	21	100	100	33	23	51	26	4	6	100	100	6	16	6	18	1	2	5	
7	12	11	35	17	89	88	46	25	97	92	50	40	2	5	94	93	25	10	43	11	100	100	50	74	22	22	50	1	100	100	37	2	32	1	0	0	100	100	50	0	7	19	1	2	1	
8	0	0	5	0	89	55	6	5	61	53	28	13	0	0	100	91	6	0	30	27	100	100	62	74	24	22	59	0	100	100	41	6	48	0	7	2	100	100	9	14	8	19	1	2	2	
9	3	0	31	4	93	80	4	0	52	51	2	1	0	0	96	95	4	0	17	2	50	86	54	54	0	0	3	0	100	100	4	0	31	13	0	0	100	100	11	0	9	18	1	2	2	
10	9	10	11	11	73	76	12	11	50	50	23	17	8	8	84	85	15	15	16	13	93	95	55	80	11	13	20	4	92	93	14	12	21	4	20	13	87	90	19	9	10	19	1	2	2	
11	0	0	36	7	88	84	5	0	50	42	26	33	0	0	55	65	24	18	40	0	100	85	50	66	50	16	70	0	87	93	15	4	50	1	60	0	100	100	21	9	11	18	1	2	2	
12	23	9	66	12	77	67	42	40	76	70	33	24	18	17	69	85	31	25	37	16	91	87	69	79	26	16	77	8	79	83	78	32	76	31	31	31	79	87	39	26	12	18	1	2	6	
13		0	50	9	89	80	25	0	50	50	50	31	0	0	90	91	9	0	75	24	83	57	84	84	50		51	0	59	94	50	0	90	0	0	0	89	97		0	13	20	1	2	2	
