subject	FearGood	FearPleasant	AngerGood	AngerPleasant	LoveGood	LovePleasant	CalmGood	CalmPleasant	SadGood	SadPleasant	LustGood	LustPleasant	DisgustGood	DisgustPleasant	ExcitementGood	ExcitementPleasant	GuiltGood	GuiltPleasant	HappinessGood	HappinessPleasant	ShameGood	ShamePleasant	JealousyGood	JealousyPleasant	MiserableGood	MiserablePleasant	PrideGood	PridePleasant	SurpriseGood	SurprisePleasant	subject	Age	GenderF1M2U3	HispanicLatinoY1N2	Ethnicity	
1	56	23	50	22	89	55	84	85	33	8	31	35	19	13	94	87	8	8	100	100	6	4	6	5	4	3	100	99	58	56	1	28	1	2	2	
2	32	20	12	4	97	94	91	81	7	10	25	33	11	23	88	80	18	10	87	88	13	15	16	28	23	14	85	80	92	78	2	24	1	2	7	
3	99	100	0	1	100	100	100	99	1	1	98	99	2	2	99	98	2	2	99	99	2	1	2	1	2	2	98	98	99	99	3	29	1	2	1	
4	13	8	17	21	97	88	91	90	26	8	71	67	3	6	88	86	14	19	100	98	15	6	4	14	1	2	99	93	82	87	4	57	1	2	2	
5	6	6	9	9	91	91	75	61	8	8	43	64	8	8	75	87	22	10	87	95	9	9	15	14	9	8	67	70	74	75	5	35	2	2	7	
6	29	19	21	15	92	90	95	95	2	3	13	15	13	14	91	96	14	12	93	86	14	12	15	16	13	8	92	91	87	88	6	30	2	2	2	
7	4	1	32	8	100	100	89	99	0	0	90	97	2	0	86	96	50	6	100	100	50	0	17	6	0	0	41	100	50	50	7	34	2	2	7	
8	93	91	76	26	100	100	100	100	50	50	65	69	53	0	100	100	22	14	100	100	1	0	28	5	0	0	36	17	71	51	8	45	2	2	2	
9	28	11	44	14	100	92	64	73	13	9	30	50	8	2	98	81	49	9	100	100	50	25	31	30	0	0	93	80	49	51	9	31	2	2	2	
10	50	50	27	23	98	97	88	84	50	8	50	50	18	20	89	84	21	24	84	85	25	13	12	23	5	5	97	100	94	83	10	37	1	2	1	
11	8	3	6	3	99	80	98	100	7	3	79	82	2	1	98	98	0	0	100	100	5	0	8	0	2	0	68	69	90	81	11	25	1	2	2	
12	31	5	12	10	63	56	80	92	25	0	15	53	1	3	64	67	73	13	100	100	29	7	7	5	0	0	58	50	87	74	12	22	1	2	7	
13	44	21	50	38	91	80	92	95	15	14	52	50	19	18	81	79	37	25	95	97	13	16	11	16	6	6	88	84	50	50	13	27	2	2	2	
14	60	60	72	36	100	73	95	85	29	24	100	100	50	0	100	75	50	0	100	100	0	0	0	0	0	0	66	66	60	50	14	24	2	2	2	
15	0	0	0	0	100	100	100	100	0	0	100	100	0	0	100	100	0	0	100	100	0	1	0	0	0	0	100	100	100	100	15	32	2	2	2	
16	21	10	12	4	97	100	90	89	7	5	19	61	11	3	95	99	1	1	100	100	11	1	17	26	9	4	100	99	63	26	16	31	1	2	2	
17	11	4	7	2	100	100	95	99	2	0	73	94	0	3	87	98	11	0	100	100	10	0	0	8	0	0	85	100	50	50	17	22	2	2	2	
18	0	0	0	0	100	100	100	100	0	0	100	100	0	0	100	100	51	0	100	100	50	0	1	0	0	0	100	100	90	46	18	55	2	2	2	
19	13	10	35	3	100	98	99	99	2	2	2	3	3	3	78	73	3	3	99	99	2	2	2	3	5	5	58	57	56	59	19	50	1	2	6	
20	25	25	43	36	99	94	73	84	17	21	51	50	48	8	68	62	45	24	97	64	38	10	6	6	0	0	55	74	50	51	20	39	2	2	2	
21	16	9	50	20	59	59	95	78	50	12	61	84	22	14	92	94	11	7	97	98	27	1	2	3	3	3	76	59	95	77	21	25	1	2	2	
22	45	40	37	38	66	59	74	70	32	24	69	74	29	28	76	81	23	23	78	80	25	50	39	29	30	54	69	69	70	74	22	31	1	2	5	
23	3	3	5	2	100	100	100	100	1	1	1	0	0	1	96	93	2	0	100	100	0	0	0	0	0	2	17	22	98	100	23	67	1	2	2	
24	8	0	0	0	99	85	100	100	0	8	15	81	0	0	94	78	0	0	100	99	11	0	0	0	0	0	91	97	78	88	24	34	2	1	2	
25	16	7	16	4	100	100	96	99	16	6	40	56	30	13	98	99	6	5	99	100	28	19	13	19	15	13	46	51	92	82	25	20	1	1	4	
26	38	8	1	0	100	100	100	100	0	1	0	0	0	2	100	100	77	88	100	100	80	7	76	69	0	0	76	63	83	82	26	31	1	2	2	
27	0	0	0	0	100	100	100	100	0	0	0	6	0	0	100	100	0	0	100	100	0	0	0	0	0	0	85	100	81	81	27	26	1	2	2	
28	2	50	4	5	98	92	98	98	3	2	50	61	4	3	90	92	4	4	97	98	3	3	3	4	3	4	98	97	63	63	28	57	1	2	2	
29	47	22	20	20	96	97	92	95	50	48	98	82	51	50	94	88	38	18	99	97	50	49	50	49	14	13	70	85	94	96	29	46	2	2	2	
30	10	9	6	6	97	97	98	81	5	7	72	79	3	4	97	96	12	22	99	99	2	13	4	7	28	21	94	88	99	93	30	28	2	2	7	
31	100	0	50	0	100	100	50	100	50	0	50	100	50	0	50	50	50	0	100	100	50	0	51	0	0	0	50	75	50	50	31	30	2	2	2	
32	16	0	26	0	100	100	100	100	25	0	50	50	0	0	100	69	0	0	100	100	0	0	0	1	0	0	50	50	100	100	32	52	2	2	2	
33	37	12	6	2	98	98	96	98	52	20	39	50	17	6	96	91	1	1	95	100	1	5	17	10	2	1	99	99	95	96	33	39	1	2	2	
34	9	14	11	1	100	100	99	100	17	6	12	68	1	0	82	81	2	0	100	100	5	4	9	7	0	0	70	70	59	57	34	23	2	2	7	
35	11	14	16	13	88	84	85	87	13	13	86	85	14	12	88	87	17	16	84	85	13	13	12	14	16	16	87	87	76	65	35	33	1	2	2	
36	44	20	35	29	78	81	74	77	8	22	32	53	46	26	66	60	71	17	100	100	23	16	43	32	2	24	29	63	71	50	36	23	2	2	2	
37	16	12	14	17	93	94	88	87	26	14	26	71	5	5	100	87	66	16	100	100	14	12	9	18	4	0	71	75	75	68	37	37	2	2	2	
38	9	0	13	11	100	100	100	100	6	5	73	100	0	0	94	98	22	8	100	100	11	0	0	0	0	0	65	90	84	66	38	45	2	2	2	
39	7	8	14	21	91	97	100	84	12	4	45	48	14	0	50	50	3	0	98	100	0	0	0	7	1	9	50	50	100	100	39	29	1	2	7	
40	42	11	13	17	100	100	89	97	14	10	12	19	19	14	63	50	26	29	100	100	28	0	11	13	7	0	50	51	59	64	40	34	2	2	2	
41	7	4	44	21	95	92	92	97	9	4	26	55	22	14	60	53	39	25	93	97	16	9	26	38	4	3	44	51	43	53	41	43	2	2	2	
