subject	HappinessGood	HappinessPleasant	CalmGood	CalmPleasant	AngerGood	AngerPleasant	PrideGood	PridePleasant	GuiltGood	GuiltPleasant	DisgustGood	DisgustPleasant	ShameGood	ShamePleasant	ExcitementGood	ExcitementPleasant	SadnessGood	SadnessPleasant	SurpriseGood	SurprisePleasant	FearGood	FearPleasant	LustGood	LustPleasant	Subject	Age	GenderF1M2U3	HispanicLatinoY1N2	Ethinicity_1AA2CA	Condition_1I_2C	InterScore	IndivrScore	Source_1mT2Comm	
1	100	100	77	86	12	0	18	63	12	0	5	0	7	0	73	85	40	5	75	50	50	0	40	36	1	27	2		2	1	42	55	1	
2	100	100	92	97	50	50	76	69	63	6	68	1	50	0	90	94	65	2	68	66	69	5	57	72	2	50	1		2	1	41	75	1	
4	100	96	96	100	9	3	50	50	30	7	0	0	14	3	100	100	29	14	52	55	6	0	75	87	4	25	1		2	1	30	76	1	
5	100	100	91	90	7	7	79	82	0	0	0	50	0	0	86	80	43	0	64	57	0	0	69	87	5	28	2		2	1	40	50	1	
6	92	77	91	95	20	45	91	98	17	7	58	21	25	36	88	89	50	50	98	96	27	32	82	67	6	39	1		2	1	49	65	1	
7	91	90	85	91	9	11	47	46	50	45	20	26	16	1	89	85	41	11	74	50	20	5	0	100	7	19	2		2	1	41	62	1	
8	100	100	100	100	11	11	50	50	0	0	14	0	18	0	100	100	0	0	50	51	41	39	50	50	8	27	2		2	1	50	73	1	
9	78	74	66	55	58	55	64	54	61	54	24	26	17	14	82	80	13	22	82	79	15	7	15	13	9	23	2		2	1	38	61	1	
11	100	100	100	100	37	12	88	50	9	0	4	8	13	11	100	100	9	0	100	44	25	0	32	70	11	29	2		2	1	39	67	1	
12	100	100	100	100	0	0	14	16	0	0	0	0	0	1	92	92	9	4	100	92	23	7	9	63	12	49	2		2	1	43	84	1	
13	87	86	81	88	3	1	1	29	7	51	5	5	3	8	82	36	17	7	76	60	24	11	8	76	13	27	1		2	1	39	49	1	
14	100	100	100	87	26	1	51	74	0	0	0	0	0	0	100	75	12	0	69	65	0	0	50	75	14	20	2		2	1	37	46	1	
15	100	100	100	100	0	0	50	50	20	0	0	0	0	0	79	77	43	0	100	100	28	0	27	100	15	31	1		2	1	58	72	1	
16	96	93	94	84	62	32	22	38	5	3	87	2	2	0	98	95	16	6	96	90	55	1	2	22	16	38	2		2	1	34	72	1	
17	100	100	79	80	50	9	80	99	32	0	0	0	1	1	88	89	78	7	50	50	50	0	60	60	17	48	1		2	1	26	45	1	
18	100	100	97	100	8	5	73	74	50	6	1	0	0	1	100	94	51	1	89	90	24	1	54	93	18	31	1		2	1	51	65	1	
19	94	87	93	76	30	21	49	46	40	21	27	16	28	29	76	70	58	38	51	54	32	31	65	85	19	34	2		2	1	44	67	1	
20	94	96	78	87	14	12	86	88	16	13	19	11	12	11	91	94	15	18	72	67	5	13	33	47	20	25	2		2	1	43	56	1	
21	93	94	96	96	3	4	87	89	4	3	3	3	4	2	99	99	4	3	73	74	6	2	59	100	21	31	2		2	1	41	71	1	
22	100	100	100	100	0	0	0	0	7	0	9	7	30	6	92	90	8	0	58	75	35	4	41	55	22	50	1		2	1	32	42	1	
23	100	100	100	100	0	50	50	50	50	0	0	0	0	0	100	100	0	0	50	51	0	0	50	50	23	45	1		2	1	58	52	1	
24	100	100	77	78	55	16	50	50	18	10	25	11	28	7	77	74	55	18	50	50	43	12	50	77	24	45	1		2	1	44	55	1	
25	94	98	69	82	16	4	33	67	36	23	30	14	20	5	90	62	22	21	70	62	51	5	58	77	25	29	2		2	1	35	72	1	
26	100	100	91	100	0	0	74	75	27	27	7	7	33	0	100	100	0	0	100	100	5	0	100	99	26	36	1		2	1	50	59	1	
27	100	100	100	100	0	0	50	50	11	0	0	0	31	0	100	100	14	1	99	99	1	1	1	92	27	38	2		2	1	46	76	1	
28	100	100	96	93	4	5	97	78	33	13	4	0	7	9	93	94	25	16	50	50	13	0	67	88	28	29	2		2	1	46	45	1	
30	100	100	82	97	8	0	71	76	9	3	9	0	2	0	93	90	19	6	58	58	29	10	55	67	30	32	2		2	2	46	73	1	
31	100	100	100	100	20	27	69	75	36	0	15	0	36	0	100	100	27	6	43	60	11	0	38	85	31	23	2		2	2	40	53	1	
32	100	96	95	87	4	42	36	33	0	5	6	1	3	13	99	94	11	1	98	90	0	0	14	88	32	31	2		2	2	22	74	1	
33	90	87	99	97	0	0	75	50	50	3	0	0	0	0	100	100	0	0	64	50	17	13	50	50	33	30	2		2	2	52	78	1	
34	73	79	90	77	45	45	61	62	22	17	11	15	10	2	98	78	49	50	79	71	75	51	50	50	34	28	1		2	2	57	73	1	
35	100	100	95	97	44	8	75	82	11	1	1	0	0	0	87	94	33	2	57	50	50	13	50	63	35	35	1		2	2	36	63	1	
36	94	91	93	91	14	12	71	71	66	58	11	11	90	83	94	90	73	74	70	63	62	54	43	39	36	22	2		2	2	37	60	1	
38	100	100	81	86	30	15	14	68	51	0	11	0	34	0	60	60	18	0	50	50	36	0	44	63	38	44	2		2	2	32	53	1	
39	41	48	81	86	13	7	53	42	24	0	0	0	9	0	95	89	11	0	51	52	7	0	93	100	39	37	2		2	2	37	78	1	
40	69	61	61	82	36	36	42	34	74	36	41	37	16	35	82	52	42	41	50	32	50	34	16	40	40	20	1		2	2	18	48	1	
41	100	100	80	92	12	0	82	24	0	0	22	0	0	0	100	76	14	0	93	72	76	0	4	13	41	19	1		2	2	48	54	1	
42	100	100	100	100	42	10	81	82	37	0	11	10	9	8	100	100	0	0	50	50	0	0	0	0	42	59	2		2	2	46	77	1	
43	100	100	99	99	20	0	54	64	0	0	0	0	6	0	100	96	0	0	50	50	27	12	50	52	43	20	1		2	2	45	47	1	
44	100	100	96	96	22	12	58	44	72	18	19	13	40	23	82	71	27	35	69	55	23	30	75	59	44	36	1		2	2	34	54	1	
45	100	100	90	100	39	50	6	100	24	2	98	3	28	3	81	36	73	12	61	27	28	0	76	99	45	57	1		2	2	43	65	1	
46	100	97	100	100	24	38	24	69	16	6	11	2	35	11	97	71	50	12	59	35	9	8	0	35	46	32	2		2	2	48	57	1	
47	97	100	98	99	1	1	100	100	8	1	1	1	5	3	87	77	18	4	50	50	50	34	81	82	47	40	1		2	2	43	64	1	
