"""subject",ShameGood,ShamePleasant,ShameIdeal,ShameActual,FearGood,FearPleasant,FearIdeal,FearActual,CalmGood,CalmPleasant,CalmIdeal,CalmActual,JealousyGood,JealousyPleasant,JealousyIdeal,JealousyActual,MiserableGood,MiserablePleasant,MiserableIdeal,MiserableActual,LustGood,LustPleasant,LustIdeal,LustActual,DisgustGood,DisgustPleasant,DisgustIdeal,DisgustActual,GuiltGood,GuiltPleasant,GuiltIdeal,GuiltActual,HappyGood,HappyPleasant,HappyIdeal,HappyActual,LoveGood,LovePleasant,LoveIdeal,LoveActual,PrideGood,PridePleasant,PrideIdeal,PrideActual,ExcitementGood,ExcitementPleasant,ExcitementIdeal,ExcitementActual,SadnessGood,SadnessPleasant,SadnessIdeal,SadnessActual,subject,Age,GenderF1M2U3,HispanicLatinoY1N2,Ethnicity
2,8,4,0,10,2,4,1,10,91,97,100,75,2,3,5,4,1,1,0,7,48,48,49,33,0,4,3,22,6,3,2,17,100,99,99,85,92,98,96,70,97,94,90,76,82,86,88,69,2,3,3,14,2,25,2,2,1
"""3",37,74,65,66,62,65,64,65,72,76,67,43,20,74,74,46,40,62,58,54,42,64,67,64,36,64,65,64,21,20,33,23,65,73,38,81,61,59,69,71,73,62,66,58,92,85,47,72,66,60,43,69,3,30,1,2,1
"""5",15,33,55,43,24,33,0,30,72,80,57,77,68,68,62,60,77,72,68,50,0,0,0,0,51,48,43,55,43,43,44,50,98,99,64,78,100,100,100,99,61,81,66,63,67,99,63,67,19,65,43,40,5,24,2,1,4
"""6",14,13,6,5,6,8,5,5,95,95,100,94,8,15,20,14,0,0,3,4,36,63,40,64,11,8,15,6,13,24,16,7,90,92,71,72,93,92,82,82,68,85,36,31,82,84,66,67,0,0,11,10,6,33,2,2,1
"""9",0,0,0,14,0,0,0,100,100,100,100,20,0,0,0,0,0,0,0,84,60,67,50,50,5,23,0,45,0,0,0,43,100,100,100,48,100,100,100,100,100,100,58,69,100,100,100,50,21,14,0,86,9,26,1,1,1
"""11",7,0,0,1,9,0,0,7,63,74,69,68,6,12,0,0,0,0,0,7,51,57,31,6,15,21,0,3,0,2,0,3,100,100,100,55,100,100,93,31,88,74,66,52,94,91,86,48,0,0,0,18,11,24,2,2,1
"""12",13,1,7,6,0,0,0,0,95,94,94,96,37,12,15,16,0,8,27,43,0,0,0,0,18,21,35,36,0,0,0,0,98,94,98,98,89,78,49,52,73,78,70,79,85,94,82,81,2,6,19,10,12,31,2,2,1
"""13",22,27,21,19,37,17,0,58,100,100,70,64,24,0,12,6,21,0,1,21,72,70,79,52,35,36,9,17,20,19,1,13,100,77,99,54,84,72,69,59,75,73,99,66,67,70,75,38,31,19,11,20,13,28,2,2,1
"""15",10,0,0,0,14,0,0,4,100,100,100,96,0,10,0,5,0,0,0,2,38,63,23,56,34,18,0,18,23,15,0,14,100,100,100,73,100,100,100,75,81,91,77,57,88,100,80,57,24,0,0,26,15,45,2,2,1
"""16",0,0,0,1,7,8,0,3,93,84,93,77,1,29,0,2,17,3,0,4,16,80,36,78,22,7,0,5,3,0,0,36,100,100,100,78,100,100,100,97,23,88,60,25,93,98,83,45,6,15,0,14,16,29,2,2,1
"""17",19,0,0,63,7,0,0,54,100,100,98,50,25,2,0,28,4,0,0,50,21,85,26,65,0,0,0,43,6,1,2,62,85,98,100,56,98,99,99,71,13,73,10,88,95,98,99,50,0,0,0,18,17,25,2,2,2
"""19",0,0,0,0,0,0,0,0,100,98,100,89,0,0,0,4,0,0,0,0,50,50,50,50,0,0,0,13,0,0,0,23,100,100,100,98,100,100,100,100,50,86,85,85,100,100,88,66,0,0,1,6,19,36,1,2,1
"""21",4,9,5,3,3,10,7,18,57,68,77,69,13,7,8,24,4,3,3,12,28,70,32,84,19,13,12,43,4,4,9,18,95,100,99,76,100,100,100,100,98,100,83,89,100,100,96,84,4,16,6,14,21,23,1,2,1
"""22",8,5,0,44,2,1,0,36,98,100,85,45,30,8,0,57,15,2,0,50,61,64,38,22,21,23,0,50,18,6,0,49,84,87,81,21,86,86,84,51,75,74,81,36,65,69,50,24,11,1,0,50,22,32,1,2,1
"""23",76,0,0,100,50,0,0,96,84,72,77,21,0,0,0,100,0,0,0,100,10,73,15,80,77,6,8,97,73,5,0,100,100,100,100,2,100,100,100,0,65,78,50,5,89,91,64,3,51,4,0,97,23,29,2,2,1
"""24",43,25,30,17,11,84,68,86,99,63,78,81,13,29,36,38,33,85,74,82,71,38,80,69,29,15,16,26,7,26,18,74,97,90,88,94,76,35,77,72,94,78,90,73,79,81,64,89,8,80,77,89,24,29,2,1,2
"""25",0,0,0,3,13,13,5,4,84,71,71,70,0,0,0,7,0,0,0,9,15,74,20,48,13,36,0,21,9,0,1,25,100,100,84,44,100,100,100,74,64,65,28,29,74,75,40,29,10,11,18,29,25,41,2,2,1
"""26",0,0,0,0,0,0,5,8,100,100,99,67,0,0,0,0,0,0,0,6,100,98,54,35,0,2,0,1,0,0,1,0,99,100,100,65,100,100,100,85,99,100,100,98,100,100,77,71,0,0,1,0,26,41,1,2,1
"""27",0,0,0,0,20,21,24,3,100,100,100,95,0,0,0,2,0,0,0,0,50,50,20,2,0,20,0,3,0,0,0,0,99,100,82,82,100,100,100,76,50,66,50,54,63,65,63,59,18,21,0,3,27,63,1,2,1
"""29",8,90,86,23,41,44,58,38,94,93,94,87,41,42,39,39,90,91,96,93,14,89,18,12,5,80,89,90,18,25,25,28,91,91,93,89,90,88,92,87,94,94,93,92,90,90,90,91,64,73,72,74,29,26,2,2,4
"""30",73,74,74,86,61,59,55,55,74,75,81,69,95,64,64,73,62,66,73,72,70,68,77,62,46,68,58,56,69,82,82,69,99,86,49,72,94,91,94,79,64,71,75,80,83,88,62,65,60,55,59,59,30,29,1,1,1
"""31",42,31,2,2,44,8,1,18,61,50,82,72,38,26,35,33,19,5,0,6,38,38,4,4,28,10,4,3,57,30,9,11,83,87,88,71,82,90,86,5,82,86,62,14,70,78,58,43,33,12,6,24,31,22,2,2,1
"""32",30,22,23,15,36,18,23,13,83,84,90,83,88,87,91,78,38,11,24,16,16,9,20,21,82,86,88,87,18,3,16,17,91,96,87,89,82,82,92,81,87,90,86,86,78,74,83,89,27,23,34,28,32,26,2,2,1
"""33",2,2,7,7,5,1,0,0,93,90,89,88,2,2,1,1,0,0,1,1,16,61,3,3,9,8,0,0,1,1,7,22,94,96,11,12,63,97,49,51,49,75,21,19,77,82,23,21,1,1,3,4,33,34,2,2,1
